age,gender,education_level,state,life_satisfaction,well_rested,overall_health,social_time,helping_others,social_support,social_skills_growth,neighborhood_safety,community_care,community_impact,enjoy_learning,self_motivation,calm_under_pressure,emotional_control,teamwork,task_persistence,adaptability,fixed_social_belief,equal_opportunity_belief,wellbeing_belief
18 - 24,Male (1),Bachelor's,Melaka,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
< 18,Male (1),Secondary,Pahang,4.0,2.0,3.0,5.0,5.0,3.0,2.5,4.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0
< 18,Female (0),Secondary,Pahang,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
18 - 24,Female (0),Bachelor's,Kelantan,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0
< 18,Female (0),Secondary,Pahang,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0
< 18,Female (0),Secondary,Pahang,2.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,1.5,2.0,3.0,4.0,4.0,3.0,3.0,4.0
18 - 24,Male (1),Primary,Kelantan,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
< 18,Female (0),Secondary,Pahang,2.0,3.0,3.0,2.0,5.0,1.5,4.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,5.0,5.0,4.0
18 - 24,Female (0),Diploma,Kelantan,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0
< 18,Male (1),Secondary,Pahang,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0
< 18,Male (1),Secondary,Pahang,4.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,2.0,5.0,5.0,5.0,3.0,3.0,5.0,2.0,4.0,1.5,5.0,5.0
18 - 24,Female (0),Bachelor's,Terengganu,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0
18 - 24,Male (1),Bachelor's,Perak,3.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,5.0,3.0,5.0,5.0
< 18,Male (1),Secondary,Pahang,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
< 18,Female (0),Secondary,Pahang,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0
< 18,Female (0),Secondary,Pahang,3.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0
< 18,Female (0),Primary,Pahang,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0
18 - 24,Male (1),Bachelor's,Selangor,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.5,5.0,4.0
< 18,Male (1),Secondary,Pahang,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0
18 - 24,Female (0),Bachelor's,Kelantan,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0
18 - 24,Male (1),Bachelor's,Selangor,3.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0
< 18,Male (1),Secondary,Pahang,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0
< 18,Female (0),Secondary,Pahang,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,5.0
< 18,Female (0),Secondary,Kedah,5.0,4.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0
< 18,Male (1),Secondary,Pahang,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0
< 18,Female (0),Secondary,Pahang,2.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,5.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0
18 - 24,Female (0),Bachelor's,Kelantan,4.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
25 - 34,Female (0),Diploma,Melaka,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0
< 18,Female (0),Primary,Pahang,2.0,3.0,2.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0
< 18,Female (0),Secondary,Pahang,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0
18 - 24,Female (0),Bachelor's,Kedah,3.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,2.5,2.0,1.5,2.0,4.0,2.0,5.0,5.0,5.0
< 18,Female (0),Secondary,Pahang,3.0,2.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0
18 - 24,Female (0),Bachelor's,Pahang,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0
18 - 24,Female (0),Bachelor's,Kedah,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
< 18,Female (0),Secondary,Pahang,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0
< 18,Male (1),Secondary,Pahang,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0
18 - 24,Female (0),Bachelor's,Sabah,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
18 - 24,Male (1),Bachelor's,Selangor,5.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0
18 - 24,Male (1),Bachelor's,Selangor,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0
45 and above,Male (1),Bachelor's,Melaka,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
25 - 34,Female (0),Bachelor's,Kuala Lumpur,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
18 - 24,Female (0),Bachelor's,Terengganu,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
18 - 24,Female (0),Bachelor's,Negeri Sembilan,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0
< 18,Female (0),Secondary,Selangor,3.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0
18 - 24,Female (0),Bachelor's,Kedah,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
18 - 24,Female (0),Bachelor's,Selangor,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
18 - 24,Female (0),Bachelor's,Kuala Lumpur,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0
< 18,Female (0),Secondary,Pahang,3.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0
18 - 24,Female (0),Diploma,Selangor,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0
18 - 24,Female (0),Bachelor's,Pahang,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
18 - 24,Female (0),Bachelor's,Melaka,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
< 18,Female (0),Secondary,Pahang,2.0,2.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,5.0,4.0,5.0
25 - 34,Female (0),Bachelor's,Kelantan,4.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0
18 - 24,Male (1),Bachelor's,Sarawak,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
18 - 24,Female (0),Bachelor's,Negeri Sembilan,3.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0
< 18,Male (1),Secondary,Pahang,3.0,2.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0
< 18,Male (1),Secondary,Pahang,3.0,3.0,4.0,4.0,2.5,3.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0
18 - 24,Female (0),Bachelor's,Terengganu,3.0,3.0,3.0,3.0,2.5,2.0,2.5,4.0,2.0,2.0,2.5,2.5,1.5,2.0,2.0,2.0,2.0,2.0,2.5,2.5
18 - 24,Female (0),Bachelor's,Selangor,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0
18 - 24,Male (1),Bachelor's,Kelantan,3.0,4.0,4.0,3.0,4.0,2.0,2.5,3.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0
18 - 24,Female (0),Secondary,Kelantan,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,1.5,4.0,5.0
45 and above,Female (0),Secondary,Kelantan,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0
45 and above,Male (1),Diploma,Kelantan,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0
18 - 24,Male (1),Bachelor's,Kelantan,5.0,4.0,4.0,5.0,5.0,1.5,5.0,3.0,1.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
18 - 24,Female (0),Bachelor's,Pahang,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0
18 - 24,Female (0),Bachelor's,Pahang,3.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0
